frame,valid_eye_gaze,left_eye_intersection,right_eye_intersection,avg_eye_intersection
2925.0,1,"[['parent', [137.19953653692627, 78.37130006504543, 765.1]]]","[['parent', [334.0, 131.00110802276862, 1005.2251078682602]]]","[['parent', [334.0, 153.2907823137993, 1061.33611670301]]]"
2926.0,1,"[['parent', [147.83150634280202, 87.3276977547295, 759.2]]]","[['parent', [331.3, 131.97201418707564, 986.3432685281731]]]","[['parent', [331.3, 150.59322444397304, 1028.9365910116749]]]"
2927.0,1,"[['parent', [136.1806350517383, 82.32744815993206, 750.2]]]","[['parent', [327.3, 131.9823794669129, 984.4330296781479]]]","[['parent', [327.3, 152.04363768999207, 1030.7530599571537]]]"
2928.0,1,"[['parent', [116.64884376858481, 77.85715369068552, 726.5]]]","[['parent', [319.3, 130.47259633390925, 927.6407946227793]]]","[['parent', [319.3, 150.56835326490963, 996.1730503448905]]]"
2929.0,1,[],[],[]
2929.0,1,[],[],[]
2930.0,0,[],[],[]
2930.0,1,[],[],[]
2931.0,0,[],[],[]
2931.0,1,[],[],[]
2932.0,0,[],[],[]
2932.0,1,[],[],[]
2933.0,1,"[['parent', [157.4127292361196, 86.86621498742929, 817.9]]]","[['parent', [206.48866823606204, 84.45202835096588, 817.9]]]","[['parent', [179.85526543314327, 85.09735757254018, 817.9]]]"
2934.0,1,"[['parent', [222.46635467617963, 209.2, 1113.332828877202]]]","[['parent', [211.76311407256318, 84.22993348217155, 831.4]]]","[['parent', [186.46285831590185, 86.80495841321768, 831.4]]]"
2935.0,1,"[['parent', [220.26051382340333, 209.1, 1115.1708709279897]]]","[['parent', [212.03234170911472, 83.88746905324265, 828.9]]]","[['parent', [187.20583448431856, 87.15129209387268, 828.9]]]"
2936.0,1,"[['parent', [221.8796325131101, 209.1, 1126.05780839048]]]","[['parent', [216.73144765942178, 85.98411560748764, 846.8]]]","[['parent', [192.00041747058523, 89.89322402829269, 846.8]]]"
2937.0,1,"[['parent', [220.58894899118297, 209.0, 1124.8593342619138]]]","[['parent', [218.28509384538393, 85.86034953629606, 844.1]]]","[['parent', [193.58389926394426, 89.95862052124225, 844.1]]]"
